Altium Designer Pick and Place Locations
C:\Users\kbogo\OneDrive - Vantage Power\Documents\Projects\e-bike charger\Project Outputs for HR1200_CCCV\Pick Place\Pick Place for HR1200 CCCV.txt

========================================================================================================================
File Design Information:

Date:       10/06/26
Time:       09:53
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                             Layer       Footprint                 Center-X(mil) Center-Y(mil) Rotation Description                                                                            
L4         T60405-R6161-X504                   TopLayer    T60405-R6161-X504         1331.102      2325.984      270      "CM Filter VAC 2x28.3mH@10kHz  5A"                                                     
C21        "Capacitor 1uF"                     BottomLayer CC/NM_1206                5660.000      1275.000      90       1uF                                                                                    
R128       ""                                  BottomLayer CC/NM_0603                5614.173      2198.395      180      "Resistor 0603"                                                                        
R127       ""                                  BottomLayer CC/NM_0603                5240.158      1792.953      90       "Resistor 0603"                                                                        
R126       "Resistor 220"                      BottomLayer CC/NM_1206                6104.473      1430.000      180      "Resistor 1206"                                                                        
R125       "Resistor 220"                      BottomLayer CC/NM_1206                6258.199      1429.134      180      "Resistor 1206"                                                                        
R77A       "Resistor 0"                        BottomLayer CC/NM_1206                5192.913      1307.156      180      "Resistor 1206"                                                                        
C83        "Capacitor 1nF"                     BottomLayer CC/NM_0603                4749.000      472.441       90       1nF                                                                                    
C82        "Capacitor 1nF"                     BottomLayer CC/NM_0603                4826.772      647.910       180      1nF                                                                                    
C81        "Capacitor 1nF"                     BottomLayer CC/NM_0603                6273.996      1807.087      270      1nF                                                                                    
R124       ""                                  BottomLayer CC/NM_0603                4610.236      472.441       90       "Resistor 0603"                                                                        
R123       "Resistor 1K"                       BottomLayer CC/NM_0603                4818.898      230.000       0        "Resistor 0603"                                                                        
R122       "Resistor 1K"                       BottomLayer CC/NM_0603                4984.252      748.639       0        "Resistor 0603"                                                                        
R117       "Resistor 30K"                      BottomLayer CC/NM_0603                5070.000      1880.000      270      "Resistor 0603"                                                                        
R116       "Resistor 8K2"                      BottomLayer CC/NM_0603                5070.000      1780.000      90       "Resistor 0603"                                                                        
R103       ""                                  TopLayer    CC/NM_0603                5905.000      2438.891      0        "Resistor 0603"                                                                        
R115       ""                                  TopLayer    CC/NM_0603                6030.000      1645.000      0        "Resistor 0603"                                                                        
P5'        PIN                                 BottomLayer PIN                       5815.000      1760.000      180      ""                                                                                     
P4'        PIN                                 BottomLayer PIN                       5715.000      1760.000      180      ""                                                                                     
P3'        PIN                                 BottomLayer PIN                       6245.000      1685.000      180      ""                                                                                     
P2'        PIN                                 BottomLayer PIN                       6145.000      1685.000      180      ""                                                                                     
P1'        PIN                                 BottomLayer PIN                       6375.000      1935.000      0        ""                                                                                     
R104       "Resistor 1"                        TopLayer    CC/NM_0603                5860.000      1385.000      180      "Resistor 0603"                                                                        
Q13        PCP1403-TD-H                        TopLayer    SOT89/4                   6065.000      1520.000      180      "NMOS 60V 4.5A 117mR"                                                                  
D17        ""                                  TopLayer    SOT95P237X112-3N          5885.000      1590.000      90       ""                                                                                     
C70        ""                                  TopLayer    CC/NM_1206                5885.000      1455.000      0        100nF                                                                                  
C58        "Capacitor 1uF"                     BottomLayer CC/NM_1206                6251.318      1051.546      270      1uF                                                                                    
C57        "Capacitor 1uF"                     BottomLayer CC/NM_1206                6305.000      1330.372      270      1uF                                                                                    
U5         ""                                  BottomLayer DIP_SMD                   4588.891      1039.000      180      ""                                                                                     
J1         MKDSN2,5/3-5.08                     TopLayer    CON_3P_DIP                6582.000      2200.000      0        "CON 3p r5.08"                                                                         
R81        "Resistor 100"                      BottomLayer CC/NM_0603                5170.000      1775.000      0        "Resistor 0603"                                                                        
R79        "Resistor 150K"                     BottomLayer CC/NM_0603                5295.000      2210.000      0        "Resistor 0603"                                                                        
R78        "Resistor 4.7"                      BottomLayer CC/NM_1206                2785.000      1150.000      0        "Resistor 1206"                                                                        
R80        "Resistor 4.7"                      BottomLayer CC/NM_1206                2620.000      1150.000      0        "Resistor 1206"                                                                        
R76        "Resistor 4.7"                      BottomLayer CC/NM_1206                2830.000      1270.000      90       "Resistor 1206"                                                                        
C28        "Capacitor 22nF"                    BottomLayer CC/NM_1206                2545.000      1065.000      180      22nF                                                                                   
R70        ""                                  BottomLayer CC/NM_0603                5868.396      1981.682      90       "Resistor 0603"                                                                        
R69        "Resistor 150K"                     BottomLayer CC/NM_0603                5195.000      2140.000      270      "Resistor 0603"                                                                        
C43        ""                                  BottomLayer CC/NM_0603                5195.000      2040.000      270      1nF                                                                                    
C42        ""                                  BottomLayer CC/NM_0603                5898.396      2056.682      0        10nF                                                                                   
C41        ""                                  BottomLayer CC/NM_0603                5095.000      2040.000      270      1nF                                                                                    
RL1        ""                                  TopLayer    Relay_12Vdc_/_10A         5997.000      2204.803      0        ""                                                                                     
R68        ""                                  BottomLayer CC/NM_1206                6019.194      2255.000      270      "Resistor 1206"                                                                        
D25        ""                                  BottomLayer SODFL260X90-2N            5925.000      2165.176      270      "1N4148  miniMelf Series 500 mW 100 V Max Reverse Voltage 200 mA Small Signal Diode -" 
C40        ""                                  BottomLayer CC/NM_1206                6455.000      2195.000      270      1nF                                                                                    
U3         TL074CD                             BottomLayer SOIC14                    5358.386      2008.365      180      "3 MHz, 13 V/µs, 7V a 36V"                                                             
R38        ""                                  BottomLayer CC/NM_0603                5788.396      1891.682      180      "Resistor 0603"                                                                        
R33        "Resistor 100"                      BottomLayer CC/NM_0603                5715.000      2268.149      0        "Resistor 0603"                                                                        
R32        "Resistor 330K"                     BottomLayer CC/NM_0603                6162.884      1928.588      180      "Resistor 0603"                                                                        
R28        "Resistor 3K3"                      BottomLayer CC/NM_0603                6262.884      1928.588      180      "Resistor 0603"                                                                        
R16        ""                                  BottomLayer CC/NM_0603                6105.522      1830.438      0        "Resistor 0603"                                                                        
R7         ""                                  BottomLayer CC/NM_2512                6375.000      1665.000      90       "Resistor 2512"                                                                        
R6         ""                                  BottomLayer CC/NM_0603                5795.000      2317.400      270      "Resistor 0603"                                                                        
R5         ""                                  BottomLayer CC/NM_0603                6003.908      1415.000      270      "Resistor 0603"                                                                        
R4         ""                                  BottomLayer CC/NM_0603                6625.000      2558.180      45       "Resistor 0603"                                                                        
R3         ""                                  BottomLayer CC/NM_2512                6535.000      1665.000      90       "Resistor 2512"                                                                        
D7         ""                                  BottomLayer DO-214AC                  5335.500      1255.000      270      ""                                                                                     
D5         ""                                  BottomLayer DO-214AC                  6674.500      1665.000      90       ""                                                                                     
D3         TL431AIDBZTG4                       BottomLayer SOT95P237X112-3N          5625.000      1870.000      270      "TL43xx Precision Programmable Reference"                                              
D2         ""                                  BottomLayer LED/0603/GREEN            6585.000      2600.000      225      "LED, 0603, Green SMD, 20 mA, 2.2 V, 560 nm"                                           
C16        ""                                  BottomLayer CC/NM_0603                5788.396      1841.682      0        2.2nF                                                                                  
C11        ""                                  TopLayer    CER8x13                   5340.000      1435.000      180      ""                                                                                     
C5         ""                                  TopLayer    CER13x25                  6490.000      1400.000      0        ""                                                                                     
C4         ""                                  TopLayer    CER13x25                  6065.000      1100.000      180      ""                                                                                     
C3         ""                                  TopLayer    CER13x25                  6395.000      650.000       0        ""                                                                                     
C2         ""                                  TopLayer    CER13x25                  5975.000      264.508       90       ""                                                                                     
C44        ""                                  BottomLayer CC/NM_0603                5620.000      2090.000      90       1nF                                                                                    
R37        ""                                  BottomLayer CC/NM_0603                6008.396      2001.682      0        "Resistor 0603"                                                                        
R23        "Resistor 100K"                     BottomLayer CC/NM_0603                5530.000      2090.000      270      "Resistor 0603"                                                                        
R21        ""                                  BottomLayer CC/NM_0603                5145.000      1880.000      90       "Resistor 0603"                                                                        
R15        "Resistor 100K"                     BottomLayer CC/NM_0603                5195.000      1880.324      90       "Resistor 0603"                                                                        
R14        ""                                  BottomLayer CC/NM_0603                5530.000      1390.000      0        "Resistor 0603"                                                                        
R10        ""                                  BottomLayer CC/NM_0603                5480.000      1750.000      270      "Resistor 0603"                                                                        
C12        ""                                  BottomLayer CC/NM_1206                5359.685      1798.247      180      100nF                                                                                  
Q3         ""                                  BottomLayer SOT89/4                   5520.000      1280.000      270      ""                                                                                     
R63        ""                                  BottomLayer CC/NM_0603                5605.000      1970.000      0        "Resistor 0603"                                                                        
R27        ""                                  BottomLayer CC/NM_0603                4850.394      909.449       90       "Resistor 0603"                                                                        
R29        ""                                  BottomLayer CC/NM_0603                4850.000      790.512       90       "Resistor 0603"                                                                        
C13        ""                                  BottomLayer CC/NM_0603                3985.000      855.000       0        1nF                                                                                    
R75        ""                                  BottomLayer CC/NM_0603                3170.000      780.000       90       "Resistor 0603"                                                                        
C17        10uF                                BottomLayer CC/NM_1206                3990.000      1020.000      90       10uF                                                                                   
R62        "Resistor 1K"                       BottomLayer CC/NM_0603                3140.000      1800.000      0        "Resistor 0603"                                                                        
R57        ""                                  BottomLayer CC/NM_0603                6204.184      1785.573      0        "Resistor 0603"                                                                        
C63        ""                                  BottomLayer CC/NM_0603                5923.396      1981.682      270      22nF                                                                                   
C62        ""                                  BottomLayer CC/NM_0603                5863.396      1866.368      90       22nF                                                                                   
C61        ""                                  BottomLayer CC/NM_0603                6105.522      1785.438      0        22nF                                                                                   
D9         NS                                  BottomLayer SODFL260X90-2N            4075.000      1870.000      180      "1N4148  miniMelf Series 500 mW 100 V Max Reverse Voltage 200 mA Small Signal Diode -" 
C10        ""                                  TopLayer    17.5x8.5x15_mm            4285.000      1985.276      90       ""                                                                                     
